,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo
11,MORT,St. Louis,MARMountOlive,2,3.99,0.00,0.19,0.19,0.07,0.00,3.92,0.07,-1.00,-1.00,1.31,8.10,-0.07,1.03,0.35,0.33,0.25,-0.17,0.00,13.68,-0.26,-1.00,-1.00,58.44,0.49,0.23,0.17,44.40,0.75,-1.00,-1.00,0.00,0.00,0.08,0.19,0.04,0.59,1.42,15.70,17.60,0.41,-0.19,-1.00,-1.00,0.54,82.23,82.23,0.35,49.81,1551
11,MORT,St. Louis,Palmetto,1,6.33,0.00,-0.01,-0.01,0.03,0.00,1.73,0.03,-1.00,-1.00,0.58,8.05,0.66,5.48,1.79,0.33,0.41,-0.02,0.00,27.68,0.71,-1.00,-1.00,41.00,0.28,0.10,-0.15,11.53,0.25,-1.00,-1.00,0.00,0.00,-0.01,0.09,0.35,-0.06,8.79,-1.05,29.41,0.72,0.74,-1.00,-1.00,1.78,48.00,48.00,0.17,-29.29,1375
16,Bomb Squad,Houston,Turing,8,5.55,0.01,13.96,13.96,0.10,-0.01,5.40,0.09,-1.00,-1.00,1.80,24.91,0.75,50.65,16.75,0.33,0.33,0.14,0.07,31.30,1.54,-1.00,-1.00,94.31,0.23,0.38,0.32,46.26,0.80,-1.00,-1.00,0.49,0.07,0.06,-0.21,0.12,-0.07,3.20,-2.73,36.70,0.87,1.63,-1.00,-1.00,30.71,116.49,133.34,0.33,52.12,1666
16,Bomb Squad,Houston,Midwest,5,4.15,-0.72,4.55,4.34,0.25,0.00,14.97,0.25,-1.00,-1.00,4.99,23.45,1.00,10.60,3.54,0.33,0.33,0.49,0.06,38.72,2.74,-1.00,-1.00,88.87,0.45,0.32,0.17,46.62,0.88,-1.00,-1.00,0.01,0.06,0.02,0.38,-0.32,-0.02,-7.93,1.35,53.68,1.22,2.99,-1.00,-1.00,7.87,113.67,119.94,0.21,26.80,1646
16,Bomb Squad,Houston,ArkansasRockCity,2,3.00,0.01,5.16,5.16,0.16,0.00,9.88,0.16,-1.00,-1.00,3.29,18.05,0.03,4.03,1.25,0.35,0.30,0.36,0.00,33.74,1.89,-1.00,-1.00,94.56,0.25,0.35,0.60,59.57,0.88,-1.00,-1.00,0.00,0.00,0.00,-0.10,0.18,0.02,4.37,-0.04,43.62,1.01,2.05,-1.00,-1.00,6.42,112.57,112.57,0.45,72.94,1693
20,The Rocketeers,Houston,Carson,9,4.49,-0.04,0.03,0.00,0.40,-0.05,20.92,0.35,-1.00,-1.00,6.97,25.41,-0.58,-2.97,-1.08,0.33,0.33,0.33,0.18,33.05,2.71,-1.00,-1.00,69.08,0.21,0.30,0.24,37.11,0.64,-1.00,-1.00,0.00,0.18,0.01,-0.04,0.26,-0.02,6.59,-0.70,53.97,1.17,3.06,-1.00,-1.00,-1.08,93.79,111.55,0.07,-18.26,1508
20,The Rocketeers,St. Louis,HudsonValley,4,5.33,-0.04,-0.15,-0.16,0.77,0.00,46.44,0.77,-1.00,-1.00,15.48,51.60,-0.52,1.31,0.29,0.33,0.36,0.67,0.19,31.29,3.76,-1.00,-1.00,73.59,-0.04,0.65,0.23,42.01,0.80,-1.00,-1.00,0.00,0.19,-0.27,0.23,0.98,-0.17,23.06,-3.06,77.73,1.56,4.53,-1.00,-1.00,0.13,122.13,140.85,0.38,36.29,1546
20,The Rocketeers,St. Louis,NewYorkTechValley,3,3.77,-0.01,0.10,0.10,0.38,0.00,22.74,0.38,-1.00,-1.00,7.58,26.61,-0.98,3.78,1.05,0.33,0.37,0.53,0.15,39.97,3.37,-1.00,-1.00,102.51,0.49,0.27,0.46,61.49,0.82,-1.00,-1.00,0.03,0.15,0.12,-0.06,-0.08,0.00,-1.35,-0.39,62.71,1.38,3.75,-1.00,-1.00,1.15,128.74,144.39,0.35,62.69,1620
21,ComBBAT,Houston,Orlando,2,5.11,-0.52,0.36,0.22,-0.03,0.00,-1.52,-0.03,-1.00,-1.00,-0.51,3.81,0.08,-0.61,-0.16,0.33,0.43,0.38,-0.02,46.02,2.28,-1.00,-1.00,77.24,0.46,0.16,0.01,31.38,0.75,-1.00,-1.00,0.00,-0.02,0.02,0.12,0.03,0.57,0.93,14.91,44.50,1.13,2.25,-1.00,-1.00,0.05,95.96,94.21,0.21,0.20,1475
21,ComBBAT,Houston,SouthFlorida,1,4.61,0.00,-0.12,-0.12,0.14,0.00,8.23,0.14,-1.00,-1.00,2.74,12.72,-0.11,-3.71,-1.25,0.22,0.21,0.02,0.00,12.51,0.24,-1.00,-1.00,22.55,0.13,0.10,-0.01,11.29,0.40,-1.00,-1.00,0.00,0.00,-0.03,0.07,0.21,0.29,5.16,7.64,20.74,0.45,0.38,-1.00,-1.00,-1.37,42.90,42.90,-0.12,-27.72,1473
25,Raider Robotix,Houston,Carson,9,4.81,0.11,3.44,3.44,0.41,0.00,24.88,0.41,-1.00,-1.00,8.29,33.13,0.44,-8.92,-2.90,0.33,0.33,0.27,0.19,28.54,2.48,-1.00,-1.00,83.75,0.56,0.31,0.29,58.12,0.90,-1.00,-1.00,0.00,0.19,0.09,0.03,0.03,-0.19,1.29,-4.69,53.41,1.13,2.89,-1.00,-1.00,0.54,112.20,131.24,0.15,33.48,1634
