,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo
1296,Full Metal Jackets,Houston,Dallas,2,3.67,0.00,-0.01,-0.01,-0.21,0.00,-12.63,-0.21,-1.00,-1.00,-4.21,-8.97,-0.50,0.14,0.02,0.33,0.35,0.29,0.00,47.52,2.08,-1.00,-1.00,119.46,0.41,0.31,0.72,71.92,1.00,-1.00,-1.00,0.00,0.00,-0.24,0.34,-0.30,0.06,-8.66,3.30,34.89,0.98,1.87,-1.00,-1.00,0.01,113.78,113.78,0.58,76.37,1604
1303,WYOHAZARD,Houston,Colorado,4,6.02,-0.37,0.40,0.28,0.09,0.00,5.27,0.09,-1.00,-1.00,1.76,11.57,2.74,-0.13,0.27,0.33,0.28,0.22,-0.01,29.21,1.27,-1.00,-1.00,21.08,-0.10,-0.18,0.11,-8.39,0.08,-1.00,-1.00,0.00,-0.01,0.08,-0.10,0.05,-0.18,1.64,-4.98,34.47,0.82,1.36,-1.00,-1.00,0.55,27.68,26.54,0.26,-2.10,1369
1305,Ice Cubed,St. Louis,Darwin,9,4.95,-0.06,14.25,14.24,0.23,-0.01,13.22,0.22,-1.00,-1.00,4.41,32.40,-0.20,95.41,31.49,0.33,0.33,0.17,0.06,26.80,1.47,-1.00,-1.00,115.91,0.46,0.42,0.27,57.62,0.93,-1.00,-1.00,0.93,0.06,-0.08,-0.07,0.08,0.04,1.73,0.62,40.02,0.89,1.69,-1.00,-1.00,45.73,148.94,173.38,0.24,20.15,1535
1305,Ice Cubed,St. Louis,ONProvincialChampionship,7,4.75,-0.35,6.13,6.03,0.28,0.02,18.31,0.31,-1.00,-1.00,6.10,29.09,-3.53,60.41,19.51,0.33,0.24,0.27,-0.22,12.56,-0.07,-1.00,-1.00,63.08,0.57,-0.02,0.06,31.00,0.83,-1.00,-1.00,0.47,-0.22,-0.05,0.28,-0.11,-0.19,-3.09,-3.47,30.88,0.62,0.24,-1.00,-1.00,25.54,88.70,76.44,0.04,-9.18,1447
1305,Ice Cubed,St. Louis,NewYorkCity,6,5.66,-0.02,0.06,0.06,0.24,0.00,14.21,0.24,-1.00,-1.00,4.74,19.93,-0.67,16.90,5.39,0.33,0.36,0.55,0.14,45.65,3.49,-1.00,-1.00,92.41,0.25,0.41,0.17,41.37,0.95,-1.00,-1.00,0.00,0.14,-0.01,0.07,-0.13,-0.09,-3.33,-1.90,59.86,1.38,3.72,-1.00,-1.00,5.45,110.45,124.23,0.34,42.09,1550
1305,Ice Cubed,St. Louis,ONVictoriaParkCollegiate,3,4.98,0.00,1.88,1.88,0.30,0.00,18.28,0.30,-1.00,-1.00,6.09,25.14,0.11,7.97,2.58,0.33,0.35,0.61,0.00,39.50,2.83,-1.00,-1.00,94.79,0.18,0.41,0.46,52.71,0.84,-1.00,-1.00,0.00,0.00,-0.13,0.55,-0.20,0.41,-5.61,13.03,57.78,1.29,3.14,-1.00,-1.00,4.46,132.96,132.96,0.43,97.95,1575
1305,Ice Cubed,St. Louis,ONDurhamCollege,1,4.19,-0.09,3.64,3.61,0.07,0.00,4.27,0.07,-1.00,-1.00,1.42,12.07,3.11,0.30,0.37,0.34,0.35,0.17,0.00,31.48,1.32,-1.00,-1.00,40.74,0.00,0.07,0.10,8.89,0.43,-1.00,-1.00,0.00,0.00,-0.09,-0.17,0.21,0.35,4.83,7.91,35.76,0.86,1.39,-1.00,-1.00,3.98,60.73,60.73,-0.03,-35.84,1455
1306,BadgerBOTS,St. Louis,Daly,9,4.33,0.00,5.31,5.31,0.30,0.00,18.06,0.30,-1.00,-1.00,6.02,27.70,-0.47,12.02,3.96,0.33,0.33,0.33,0.13,33.15,2.48,-1.00,-1.00,80.03,0.35,0.33,0.18,42.92,0.80,-1.00,-1.00,0.11,0.13,0.25,-0.11,0.27,-0.02,8.10,-1.10,51.21,1.13,2.78,-1.00,-1.00,9.27,106.63,121.74,0.18,-1.42,1468
1306,BadgerBOTS,St. Louis,SevenRivers,7,4.99,-0.27,-0.26,-0.34,0.28,0.00,16.85,0.28,-1.00,-1.00,5.62,21.51,1.58,5.24,1.79,0.33,0.33,0.22,0.18,31.59,2.36,-1.00,-1.00,55.01,0.20,0.17,0.07,21.63,0.67,-1.00,-1.00,-0.08,0.18,-0.06,0.09,-0.03,0.21,-0.97,5.70,48.44,1.07,2.64,-1.00,-1.00,1.45,82.22,98.62,0.20,10.05,1478
1306,BadgerBOTS,St. Louis,Wisconsin,4,3.52,0.56,-0.46,-0.29,0.19,0.00,11.14,0.19,-1.00,-1.00,3.71,14.37,-0.47,-0.42,-0.29,0.33,0.35,0.12,0.07,27.35,1.39,-1.00,-1.00,67.62,0.28,0.15,0.38,40.57,0.80,-1.00,-1.00,0.00,0.07,-0.13,-0.05,-0.11,-0.19,-3.31,-4.86,38.49,0.87,1.58,-1.00,-1.00,-0.59,77.13,83.98,0.26,1.18,1457
1307,Robosaints,St. Louis,NEGreaterBoston,3,3.26,-0.24,0.84,0.78,-0.15,0.00,-8.97,-0.15,-1.00,-1.00,-2.99,-4.94,0.78,0.70,0.30,0.33,0.36,0.14,-0.02,38.00,1.26,-1.00,-1.00,58.21,0.29,0.10,0.00,19.91,0.50,-1.00,-1.00,0.01,-0.02,0.07,-0.04,0.09,0.25,2.49,6.00,29.03,0.80,1.11,-1.00,-1.00,1.08,59.27,57.02,0.16,-2.66,1383
1307,Robosaints,St. Louis,NEGraniteState,1,3.05,-0.01,0.12,0.12,0.25,0.00,15.07,0.25,-1.00,-1.00,5.02,18.24,-0.15,-0.35,-0.13,0.35,0.28,0.03,0.04,18.17,0.72,-1.00,-1.00,28.49,0.05,0.05,0.11,10.45,0.00,-1.00,-1.00,0.00,0.04,-0.01,0.09,0.58,0.08,14.56,2.35,33.24,0.71,0.97,-1.00,-1.00,-0.01,49.07,53.46,0.19,-33.13,1366
1308,Wildcats,St. Louis,Buckeye,5,5.17,0.05,-0.22,-0.19,-0.17,0.00,-10.20,-0.17,-1.00,-1.00,-3.40,-5.22,0.40,2.94,0.88,0.33,0.34,0.33,-0.08,43.84,1.69,-1.00,-1.00,63.85,0.22,0.18,-0.01,19.12,0.33,-1.00,-1.00,0.03,-0.08,-0.04,-0.26,0.32,0.07,7.92,0.43,33.64,0.93,1.52,-1.00,-1.00,0.69,59.06,51.67,-0.01,-64.27,1321
1308,Wildcats,St. Louis,MiamiValley,2,6.14,0.00,-0.46,-0.46,-0.03,0.00,-2.05,-0.03,-1.00,-1.00,-0.68,3.63,-0.02,0.37,0.13,0.33,0.18,-0.01,-0.01,20.98,0.30,-1.00,-1.00,2.79,-0.21,-0.15,-0.01,-18.32,0.00,-1.00,-1.00,0.00,-0.01,0.21,0.03,-0.02,0.14,0.52,3.58,18.93,0.49,0.27,-1.00,-1.00,-0.33,10.00,9.35,-0.08,-45.79,1361
1310,Runnymede Robotics,St. Louis,ONMcMasterUniversity,6,4.58,0.01,4.62,4.62,0.56,0.00,34.02,0.57,-1.00,-1.00,11.34,43.23,-0.03,4.96,1.40,0.33,0.33,0.17,0.05,12.94,1.10,-1.00,-1.00,46.96,0.28,0.34,0.03,32.62,0.87,-1.00,-1.00,-0.01,0.05,-0.05,0.12,0.25,0.24,6.02,6.62,46.96,0.89,1.67,-1.00,-1.00,6.02,96.80,101.81,0.20,10.55,1456
1310,Runnymede Robotics,St. Louis,ONRyersonUniversity,2,5.24,-0.45,3.17,3.05,0.28,0.00,17.10,0.28,-1.00,-1.00,5.70,25.38,-0.09,1.10,0.18,0.33,0.37,0.12,0.00,21.44,0.93,-1.00,-1.00,53.57,0.05,0.28,0.31,31.95,0.71,-1.00,-1.00,0.00,0.00,-0.10,0.01,0.56,-0.17,13.58,-4.13,38.54,0.82,1.22,-1.00,-1.00,3.23,74.82,74.89,0.26,-6.59,1513
1311,Kell Robotics,Houston,Carver,8,5.36,0.13,0.79,0.83,0.11,0.01,6.97,0.12,-1.00,-1.00,2.32,13.16,0.04,9.07,2.87,0.33,0.33,0.39,-0.29,25.45,0.33,-1.00,-1.00,52.05,0.41,-0.09,0.16,23.74,0.80,-1.00,-1.00,0.12,-0.29,0.11,0.10,-0.17,-0.31,-3.59,-7.25,32.41,0.75,0.45,-1.00,-1.00,3.69,57.97,31.18,-0.30,-65.26,1369
1311,Kell Robotics,Houston,PCHStateChampionship,6,4.58,-1.23,2.07,1.72,0.00,0.00,-0.19,0.00,-1.00,-1.00,-0.06,6.11,0.06,3.19,0.86,0.33,0.34,0.10,-0.05,28.96,0.77,-1.00,-1.00,73.00,0.31,0.26,0.29,43.18,0.92,-1.00,-1.00,0.00,-0.05,-0.04,0.08,0.46,-0.06,11.21,-1.23,28.77,0.72,0.77,-1.00,-1.00,2.58,77.88,72.59,0.15,-20.98,1429
1311,Kell Robotics,Houston,PCHDalton,2,4.69,0.00,1.07,1.07,-0.15,0.00,-9.11,-0.15,-1.00,-1.00,-3.04,-3.35,-0.58,10.39,3.22,0.33,0.41,-0.04,0.00,34.14,0.83,-1.00,-1.00,80.23,0.19,0.41,0.26,42.87,0.57,-1.00,-1.00,0.00,0.00,0.18,-0.07,0.15,-0.03,4.76,-1.08,25.03,0.70,0.68,-1.00,-1.00,4.30,75.80,76.15,0.20,18.36,1418
1311,Kell Robotics,Houston,PCHGainesville,1,4.27,0.00,0.04,0.04,0.13,0.00,7.90,0.13,-1.00,-1.00,2.63,12.21,-0.47,9.22,2.78,0.24,0.15,-0.12,0.00,5.23,-0.42,-1.00,-1.00,3.31,0.00,-0.03,-0.07,-4.70,-1.00,-1.00,-1.00,0.00,0.00,0.10,-0.04,0.00,-0.01,0.58,-0.31,13.13,0.26,-0.29,-1.00,-1.00,2.82,15.21,15.21,-0.15,-37.07,1375
1317,Digital Fusion,St. Louis,MiamiValley,2,5.14,0.00,-0.48,-0.48,0.12,0.00,7.42,0.12,-1.00,-1.00,2.47,12.08,0.01,-0.08,0.00,0.33,0.33,0.31,-0.01,33.70,1.74,-1.00,-1.00,74.05,0.32,0.03,0.45,40.35,0.67,-1.00,-1.00,0.00,-0.01,0.18,0.08,-0.02,0.02,0.34,0.99,41.11,0.97,1.87,-1.00,-1.00,-0.48,87.12,86.47,0.26,9.90,1452
1318,Issaquah Robotics Society,Houston,Turing,8,5.22,-0.01,-0.95,-0.95,0.32,0.10,25.60,0.43,-1.00,-1.00,8.53,29.87,-2.55,-3.16,-1.45,0.33,0.33,0.39,0.22,33.92,3.11,-1.00,-1.00,79.77,0.33,0.13,0.48,47.30,0.82,-1.00,-1.00,-0.07,0.22,0.22,0.13,0.56,-0.06,15.00,-0.94,59.52,1.27,3.54,-1.00,-1.00,-2.40,108.71,129.36,0.43,27.64,1622
1318,Issaquah Robotics Society,Houston,PNWChampionship,6,4.58,0.00,0.25,0.25,0.29,0.00,17.37,0.29,-1.00,-1.00,5.79,22.19,-0.11,10.23,3.18,0.33,0.33,0.38,-0.16,23.84,0.94,-1.00,-1.00,42.56,0.04,0.23,0.04,15.54,0.89,-1.00,-1.00,-0.01,-0.16,0.17,-0.14,0.11,0.08,3.49,1.37,41.21,0.89,1.23,-1.00,-1.00,3.43,66.13,49.89,0.04,-11.22,1536
1318,Issaquah Robotics Society,Houston,PNWAuburn,5,5.12,-0.02,-0.43,-0.43,0.12,0.00,7.35,0.12,-1.00,-1.00,2.45,12.04,-0.13,0.64,0.16,0.33,0.34,0.41,0.09,42.24,2.75,-1.00,-1.00,90.73,0.30,0.29,0.38,48.34,0.93,-1.00,-1.00,-0.01,0.09,-0.09,-0.03,0.24,0.27,5.55,6.47,49.58,1.18,2.87,-1.00,-1.00,-0.28,109.24,117.96,0.30,27.54,1538
1318,Issaquah Robotics Society,Houston,PNWGlacierPeak,4,5.25,-0.06,-0.24,-0.24,0.18,0.00,10.92,0.18,-1.00,-1.00,3.64,15.93,-0.13,0.04,-0.05,0.34,0.37,0.18,0.05,30.76,1.63,-1.00,-1.00,84.16,0.37,0.29,0.40,53.45,0.93,-1.00,-1.00,0.00,0.05,0.03,-0.16,0.04,0.06,1.19,0.65,41.68,0.95,1.81,-1.00,-1.00,-0.29,100.75,106.23,0.25,0.13,1508
1318,Issaquah Robotics Society,Houston,PNWAuburnMountainview,1,6.28,-0.01,0.00,0.00,0.00,0.00,-0.20,0.00,-1.00,-1.00,-0.07,6.08,-1.24,0.05,-0.14,0.35,0.31,0.03,0.00,27.98,0.77,-1.00,-1.00,78.08,0.31,0.28,0.41,50.25,0.73,-1.00,-1.00,0.00,0.00,0.26,0.37,-0.01,-0.12,0.97,-1.20,27.78,0.70,0.77,-1.00,-1.00,-0.15,82.96,82.96,0.29,-2.75,1529
1319,Flash,Houston,Hopper,8,4.46,-0.40,-0.47,-0.59,0.34,-0.01,19.68,0.33,-1.00,-1.00,6.56,23.55,0.02,-1.60,-0.54,0.33,0.35,0.40,0.11,34.75,2.64,-1.00,-1.00,96.98,0.12,0.33,0.80,62.77,1.00,-1.00,-1.00,-0.02,0.11,-0.19,0.07,0.22,-0.27,4.61,-6.41,54.43,1.20,2.97,-1.00,-1.00,-1.13,114.12,125.01,0.19,19.43,1536
1319,Flash,Houston,RocketCity,4,2.80,0.66,-0.69,-0.48,0.08,0.00,4.78,0.08,-1.00,-1.00,1.59,7.10,11.24,-0.31,1.17,0.33,0.32,0.25,0.05,35.05,1.88,-1.00,-1.00,89.07,0.40,0.40,0.26,52.85,0.88,-1.00,-1.00,-0.07,0.05,0.10,0.24,-0.18,0.34,-3.87,9.62,39.83,0.96,1.96,-1.00,-1.00,0.70,105.79,109.56,0.33,35.26,1520
1319,Flash,Houston,Palmetto,1,5.67,0.00,0.70,0.70,-0.10,0.00,-6.20,-0.10,-1.00,-1.00,-2.07,0.16,-1.24,4.81,1.36,0.33,0.11,0.22,0.00,30.32,1.15,-1.00,-1.00,63.50,-0.15,0.22,0.57,31.82,0.77,-1.00,-1.00,0.00,0.00,0.05,-0.09,0.00,-0.07,0.28,-2.23,24.12,0.65,1.05,-1.00,-1.00,2.05,61.43,61.43,0.29,45.60,1508
1322,Genesee Robotics Area Youth Team (GRAYT),St. Louis,MISCConsumersEnergy,7,4.53,0.04,2.10,2.11,0.08,0.08,9.58,0.16,-1.00,-1.00,3.19,16.22,-0.52,0.77,0.27,0.33,0.33,0.35,0.03,35.36,2.07,-1.00,-1.00,74.43,0.41,0.18,0.19,38.80,0.75,-1.00,-1.00,-0.01,0.03,-0.10,0.22,0.15,-0.03,3.16,0.31,44.94,1.04,2.23,-1.00,-1.00,2.38,90.96,93.69,-0.14,-32.51,1475
1322,Genesee Robotics Area Youth Team (GRAYT),St. Louis,MIEscanaba,3,2.61,-0.02,0.38,0.37,0.05,0.00,2.80,0.05,-1.00,-1.00,0.93,5.77,3.19,0.34,0.44,0.33,0.41,0.26,0.00,38.27,1.79,-1.00,-1.00,75.26,0.39,0.03,0.31,36.55,0.89,-1.00,-1.00,0.00,0.00,-0.04,-0.04,0.11,-0.09,2.52,-2.37,41.06,1.00,1.84,-1.00,-1.00,0.81,78.66,78.66,0.53,45.09,1525
1322,Genesee Robotics Area Youth Team (GRAYT),St. Louis,MIKetteringUniversity1,1,2.67,0.17,0.52,0.52,0.30,0.00,18.28,0.30,-1.00,-1.00,6.09,21.47,-0.94,0.16,-0.03,0.33,0.26,0.05,0.00,13.48,0.41,-1.00,-1.00,50.86,0.04,0.25,0.45,37.42,0.57,-1.00,-1.00,0.00,0.00,0.04,0.02,-0.03,0.24,-0.58,6.20,31.76,0.64,0.72,-1.00,-1.00,0.49,78.53,78.53,0.19,14.61,1455
1323,MadTown Robotics,Houston,Turing,8,5.41,0.09,16.87,16.87,0.15,0.00,9.44,0.16,-1.00,-1.00,3.15,31.72,0.46,44.82,14.77,0.33,0.33,0.29,0.05,33.73,1.94,-1.00,-1.00,84.24,0.36,0.37,-0.01,35.73,0.88,-1.00,-1.00,0.50,0.05,0.10,0.12,-0.03,-0.05,-0.34,-0.66,43.17,1.00,2.10,-1.00,-1.00,31.64,115.30,129.86,0.24,10.54,1542
1323,MadTown Robotics,Houston,Sacramento,4,5.19,0.10,8.13,8.14,0.20,0.00,11.77,0.20,-1.00,-1.00,3.92,25.10,-0.39,23.14,7.65,0.33,0.36,0.19,0.00,27.57,1.29,-1.00,-1.00,72.28,0.32,0.13,0.29,37.07,0.93,-1.00,-1.00,0.08,0.00,0.30,0.11,-0.02,-0.29,0.88,-6.63,39.34,0.89,1.49,-1.00,-1.00,15.79,90.75,92.27,0.35,19.17,1564
1323,MadTown Robotics,Houston,CentralValley,2,4.71,0.00,9.72,9.72,0.08,0.00,4.56,0.08,-1.00,-1.00,1.52,18.99,1.28,7.96,2.44,0.32,0.27,0.20,0.00,28.41,1.24,-1.00,-1.00,29.07,-0.11,-0.02,0.09,-1.78,0.33,-1.00,-1.00,0.00,0.00,0.00,-0.37,0.08,-0.20,2.07,-6.91,32.97,0.79,1.32,-1.00,-1.00,12.17,41.16,41.17,0.03,-32.20,1500
1325,Inverse Paradox,St. Louis,Archimedes,9,4.71,1.42,1.12,1.41,0.28,0.00,16.94,0.28,-1.00,-1.00,5.65,23.06,0.38,-0.69,-0.02,0.33,0.33,0.34,0.34,42.80,3.81,-1.00,-1.00,79.18,0.21,0.31,0.21,36.40,0.92,-1.00,-1.00,0.05,0.34,-0.11,-0.09,-0.02,0.10,-1.15,2.02,59.74,1.35,4.09,-1.00,-1.00,1.40,104.26,139.50,0.20,4.12,1523
1325,Inverse Paradox,St. Louis,ONProvincialChampionship,7,4.97,1.36,2.02,2.38,0.29,0.10,23.66,0.39,-1.00,-1.00,7.89,31.01,2.94,-5.20,-1.36,0.33,0.32,0.24,0.18,27.12,2.27,-1.00,-1.00,61.99,0.35,0.09,0.29,36.22,0.73,-1.00,-1.00,-0.05,0.18,0.04,0.01,-0.01,-0.11,-0.07,-2.74,50.78,1.07,2.66,-1.00,-1.00,1.03,90.26,106.93,0.22,-8.80,1529
1325,Inverse Paradox,St. Louis,ONGeorgianCollege,4,3.96,0.00,0.41,0.41,0.16,0.00,9.64,0.16,-1.00,-1.00,3.21,14.02,5.32,-0.85,0.31,0.33,0.31,0.53,-0.01,40.08,2.52,-1.00,-1.00,70.72,0.38,0.16,0.07,30.33,0.78,-1.00,-1.00,0.00,-0.01,0.16,0.29,-0.24,0.21,-5.33,6.64,49.72,1.16,2.68,-1.00,-1.00,0.73,91.39,90.76,0.38,25.45,1497
1325,Inverse Paradox,St. Louis,ONRyersonUniversity,2,3.69,0.25,1.31,1.36,0.44,0.00,26.57,0.44,-1.00,-1.00,8.86,31.62,2.38,0.96,0.54,0.35,0.38,0.21,0.00,19.76,1.17,-1.00,-1.00,37.10,0.33,-0.15,0.15,16.80,0.69,-1.00,-1.00,-0.01,0.00,-0.13,-0.15,-0.05,-0.19,-1.81,-5.47,46.33,0.94,1.61,-1.00,-1.00,1.90,63.24,63.10,0.15,14.44,1545
1329,ROBOREBELS,St. Louis,CentralIllinois,3,4.18,-0.01,-0.84,-0.85,-0.09,0.00,-5.50,-0.09,-1.00,-1.00,-1.83,-2.16,0.92,-1.46,-0.40,0.33,0.35,0.21,0.00,39.32,1.63,-1.00,-1.00,55.67,0.22,0.06,0.05,16.75,0.30,-1.00,-1.00,-0.06,0.00,0.10,0.28,-0.09,0.42,-1.72,11.84,33.82,0.89,1.54,-1.00,-1.00,-1.24,65.34,64.11,-0.04,-15.48,1471
1329,ROBOREBELS,St. Louis,St.Louis,2,2.73,0.01,1.94,1.94,0.00,0.00,-0.08,0.00,-1.00,-1.00,-0.03,4.59,-1.74,5.31,1.49,0.34,0.20,0.00,0.01,22.30,0.58,-1.00,-1.00,47.71,0.08,0.20,0.20,23.92,0.70,-1.00,-1.00,0.00,0.01,0.09,0.14,0.00,0.22,0.56,6.35,22.23,0.56,0.57,-1.00,-1.00,3.43,58.65,59.64,0.10,2.05,1511
1332,Swift,Houston,Colorado,4,0.46,0.02,0.16,0.17,0.01,0.00,0.62,0.01,-1.00,-1.00,0.21,1.25,-0.31,-0.77,-0.26,0.33,0.34,-0.19,0.01,19.10,0.01,-1.00,-1.00,21.30,-0.17,0.00,0.22,2.47,0.27,-1.00,-1.00,-0.01,0.01,-0.03,0.16,0.29,0.07,7.22,2.48,19.72,0.49,0.02,-1.00,-1.00,-0.10,25.03,25.96,-0.09,-41.13,1351
1334,Red Devils,St. Louis,ONMcMasterUniversity,6,4.04,-0.04,0.57,0.56,0.27,0.00,16.57,0.28,-1.00,-1.00,5.52,21.18,0.58,2.42,0.74,0.33,0.33,0.29,0.07,29.81,1.95,-1.00,-1.00,72.38,0.20,0.38,0.26,41.83,0.73,-1.00,-1.00,0.00,0.07,-0.11,-0.03,-0.18,0.31,-4.98,7.64,46.38,1.02,2.22,-1.00,-1.00,1.30,101.20,108.07,0.36,20.77,1433
1334,Red Devils,St. Louis,ONGeorgianCollege,4,1.07,0.00,-0.54,-0.54,-0.09,0.00,-5.35,-0.09,-1.00,-1.00,-1.78,-4.82,-0.78,-0.40,-0.20,0.33,0.31,-0.14,-0.02,22.71,0.01,-1.00,-1.00,25.49,0.16,0.03,-0.14,2.97,0.47,-1.00,-1.00,0.00,-0.02,0.24,0.17,0.25,0.52,7.48,13.89,17.36,0.48,-0.08,-1.00,-1.00,-0.73,34.57,32.77,0.07,-31.57,1368
1339,AngelBotics,Houston,Roebling,8,5.28,0.00,0.82,0.82,0.49,-0.01,28.81,0.48,-1.00,-1.00,9.60,34.91,0.14,0.28,0.13,0.33,0.33,0.36,0.12,26.45,2.32,-1.00,-1.00,93.41,0.60,0.36,0.38,66.84,0.90,-1.00,-1.00,0.03,0.12,0.10,-0.05,0.01,0.39,0.78,9.41,55.26,1.14,2.80,-1.00,-1.00,0.95,137.73,150.20,0.24,31.52,1549
1339,AngelBotics,Houston,Colorado,4,4.86,-0.07,0.19,0.18,0.41,0.00,24.69,0.41,-1.00,-1.00,8.23,29.73,0.06,-1.16,-0.41,0.33,0.36,0.39,0.00,27.09,1.90,-1.00,-1.00,76.73,0.13,0.58,0.29,50.05,0.88,-1.00,-1.00,-0.02,0.00,0.12,-0.06,0.29,0.05,7.75,0.87,51.78,1.09,2.31,-1.00,-1.00,-0.23,107.34,107.07,0.13,3.39,1488
1339,AngelBotics,Houston,Utah,2,3.55,0.00,-0.73,-0.73,0.09,0.00,5.35,0.09,-1.00,-1.00,1.78,8.17,-3.60,-4.38,-1.78,0.34,0.30,-0.07,0.00,19.31,0.32,-1.00,-1.00,50.73,0.17,0.25,0.25,33.20,0.75,-1.00,-1.00,-0.02,0.00,-0.07,-0.10,0.22,0.29,5.08,6.72,24.66,0.57,0.41,-1.00,-1.00,-2.51,65.62,65.19,0.16,7.30,1508
1350,The Rambots,St. Louis,NERhodeIsland,4,5.29,-0.28,-0.82,-0.90,0.50,0.00,29.85,0.50,-1.00,-1.00,9.95,34.24,-0.60,-6.09,-2.08,0.33,0.33,0.16,-0.02,12.20,0.68,-1.00,-1.00,50.01,0.32,0.20,0.28,39.90,0.75,-1.00,-1.00,-0.07,-0.02,0.04,0.50,0.01,-0.18,0.36,-1.89,42.05,0.80,1.17,-1.00,-1.00,-2.98,82.37,78.62,0.16,3.05,1466
1350,The Rambots,St. Louis,NEWPI,2,4.41,0.00,-0.70,-0.70,-0.03,0.00,-1.64,-0.03,-1.00,-1.00,-0.55,2.07,0.79,2.85,0.93,0.32,0.36,0.07,-0.02,30.53,0.90,-1.00,-1.00,63.67,0.33,0.08,0.24,32.21,0.53,-1.00,-1.00,0.00,-0.02,0.17,0.10,0.07,0.52,2.57,13.54,28.89,0.74,0.87,-1.00,-1.00,0.23,79.28,77.29,0.16,12.83,1475
1351,TKO,Houston,SiliconValley,5,4.73,-0.14,-0.01,-0.05,0.26,0.00,15.84,0.26,-1.00,-1.00,5.28,20.52,0.81,0.50,0.10,0.33,0.31,0.07,-0.08,14.46,0.14,-1.00,-1.00,47.85,0.14,0.46,0.06,33.28,0.67,-1.00,-1.00,0.00,-0.08,-0.11,0.27,-0.43,0.21,-11.19,6.67,30.30,0.63,0.41,-1.00,-1.00,0.06,75.04,67.11,0.12,25.64,1470
1351,TKO,Houston,Sacramento,4,3.67,0.25,0.52,0.56,0.37,0.00,21.99,0.37,-1.00,-1.00,7.33,26.23,-0.23,-0.89,-0.31,0.33,0.11,0.17,0.00,9.71,0.74,-1.00,-1.00,52.87,0.49,0.28,0.10,43.47,0.78,-1.00,-1.00,-0.01,0.00,0.25,0.12,0.06,-0.43,2.85,-10.06,31.70,0.61,1.11,-1.00,-1.00,0.25,69.04,68.78,-0.02,-36.18,1399
1359,Scalawags,Houston,PNWLakeOswego,5,5.19,0.00,-0.41,-0.41,-0.03,0.00,-1.87,-0.03,-1.00,-1.00,-0.62,2.91,-0.09,0.40,0.13,0.33,0.34,0.05,0.00,30.07,0.89,-1.00,-1.00,38.74,0.03,0.06,0.08,8.54,0.60,-1.00,-1.00,0.00,0.00,-0.07,0.06,0.16,0.14,3.74,3.75,28.20,0.72,0.86,-1.00,-1.00,-0.28,45.39,45.07,0.08,-34.11,1376
1359,Scalawags,Houston,PNWWilsonville,2,4.75,0.00,-0.22,-0.22,0.13,0.00,7.96,0.13,-1.00,-1.00,2.65,12.49,0.14,0.95,0.37,0.33,0.27,-0.10,0.00,14.47,-0.03,-1.00,-1.00,14.09,0.08,-0.03,-0.06,-0.76,0.17,-1.00,-1.00,0.00,0.00,0.06,-0.09,0.01,0.13,0.53,2.77,22.43,0.49,0.10,-1.00,-1.00,0.15,29.35,28.91,0.13,-23.87,1416
1360,Orbit Robotics,St. Louis,ONProvincialChampionship,7,5.20,1.92,0.31,0.79,0.31,0.06,22.70,0.38,-1.00,-1.00,7.57,28.68,-0.99,-3.07,-1.22,0.33,0.34,0.40,0.29,39.42,3.64,-1.00,-1.00,84.21,0.31,0.22,0.39,46.00,0.73,-1.00,-1.00,-0.04,0.29,0.19,0.24,0.14,-0.02,4.46,0.66,62.12,1.36,4.02,-1.00,-1.00,-0.43,113.55,141.85,0.28,28.15,1517
1360,Orbit Robotics,St. Louis,ONMcMasterUniversity,6,5.62,0.57,0.05,0.21,0.46,-0.01,27.44,0.46,-1.00,-1.00,9.15,33.27,0.64,-2.25,-0.70,0.33,0.33,0.47,0.18,34.57,3.20,-1.00,-1.00,68.83,0.05,0.22,0.43,34.97,0.79,-1.00,-1.00,0.02,0.18,0.03,-0.22,0.82,-0.15,20.70,-4.78,62.00,1.32,3.65,-1.00,-1.00,-0.49,97.32,116.18,0.09,-10.71,1469
