# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	SouthFlorida	LakeSuperior	NorthernLights	Palmetto	Dallas	InlandEmpire	GeorgiaSouthernClassic	MIHowell	MISouthfield	MIStandish	NEGraniteState	PNWOregonCity	PNWAuburnMountainview	NEWaterbury	INPerryMeridian	MARHatboro-Horsham	TorontoCentral	MexicoCity	ArkansasRockCity	Pittsburgh	CentralValley	NEPioneerValley	MIKetteringUniversity	MIKentwood	MIWaterford	PNWWestValley	NEReading	MARMt.Olive	PNWGlacierPeak	Israel	Australia	TorontoEast	LosAngeles	Orlando	KansasCity	Alamo	Utah	NewYorkCity	INKokomo	NEUMass-Dartmouth	NEPineTree	MIWoodhaven	MIGullLake	MITraverseCity	PNWWilsonville	MARSpringsideChestnutHill	PNWMt.Vernon	Waterloo	Montreal	ArizonaEast	Sacramento	CentralIllinois	Bayou	St.Louis	NorthCarolina	NewYorkTechValley	Virginia	Wisconsin	INPurdue	MIWestMichigan	MIGreatLakesBayRegion	MISt.Joseph	PNWCentralWashingtonUniversity	NEUNH	MARSeneca	NERhodeIsland	PNWShorewood	NorthBay	Colorado	Peachtree	Hawaii	LasVegas	SBPLILongIsland	FingerLakes	Buckeye	Oklahoma	HubCity	GreaterDC	Ventura	NENortheastern	MICenterline	MIEscanaba	MILivonia	PNWPhilomathPeak	PNWAuburn	NEHartford	MARBridgewater-Raritan	MARUpperDarby	WesternCanada	WindsorEssexGreatLakes	ArizonaWest	SanDiego	SiliconValley	Midwest	Chesapeake	Minnesota10000Lakes	MinnesotaNorthStar	QueenCity	SmokyMountains	LoneStar	PNWDistrictChampionship	INDistrictChampionship	MILansing	MIBedford	MITroy	MARNorthBrunswick	NEDistrictChampionship	MIDistrictChampionship	MARDistrictChampionship	Archimedes	Carson	Carver	Curie	Galileo	Hopper	Newton	Tesla
																																																																																																																												
3	Cedar Falls, IA USA	John Deere / PTC / R.J. McElroy Trust / Rockwell Collins / Denso International America, Inc. / DISTek Integration, Inc / Viking Pump, a Unit of IDEX Corporation / Hawkeye Tool and Die / Partners in Obstetrics and Gynecology / Rotary Club of Cedar Falls / University of Northern Iowa / Iowa State University College of Engineering / Schumacher Elevator Company & CEDAR FALLS HIGH SCHOOL	Swartdogs	525	13	103.7	Galileo			59.1716012685626																																																																																													85.5035292448557																		103.73161451002			
2	Boise, ID USA	Micron Technology, Inc. / Hewlett Packard / Boise Schools Educational Foundation / Laura Moore Cunningham Foundation / J.C. Jeker Foundation & TREASURE VALLEY MATH/SCIENCE	Team Tators	2122	14	101.7	Tesla																																					59.2804068402441																																																						101.733000962068																										96.6179043457377
2	Smithville, MO USA	LABCONCO/Darrell Smith/Community America Credit Union/Kansas City Power and Light/Ewing Marion Kauffman Foundation & SMITHVILLE HIGH	S.W.A.T.	1806	15	101.7	Tesla																																			54.3726719574685																																									101.665327680429																																									93.9881602869324
2	Clovis, CA USA	Pelco by Schneider Electric/PTC/Harris Manufacturing/Educational Employees Credit Union/Google/POM Wonderful & BUCHANAN HIGH	Buchanan Bird Brains	1671	16	100.0	Newton																					44.7624218907563																														100.012312049129																																																																	46.3257819183337	
2	Knoxville, TN USA	ORNL/UT Battelle/DOE MDF Advanced Manufacturing Office/Bechtel/3D Systems/Stratasys/ModernTech/Naoko Blue & Associates/Bimba Mead Fluid Dynamics/Northrop Grumman Remotec/Knox County Government/Soccer Taco/Ingenutec/National Fluid Power Association & HARDIN VALLEY ACADEMY	HVA RoHAWKtics	3824	17	100.0	Tesla				52.2031776168899																																																																																															99.9713184180816																		65.9863637847456
3	Lees Summit, MO USA	R&D Leverage/Cerner/Honeywell/Black & Veatch/Fike/Sioux Chief/Kastle Grinding/Hallmark Cards/Sprint/5 Star Embroidery/KC STEM Alliance/Pickett Family & LEE'S SUMMIT SR. HIGH	Team Driven	1730	18	97.4	Carson																																			97.4159239852451																																		76.5506326185923																																										97.2643010246575						
4	Anaheim, CA USA	The Boeing Company/Hamrock/Moseys' Production Machinists/Hyundai Motors America/Raytheon/Applied Medical/Serra Laser/Will-Mann/SoCal Devs & SERVITE HIGH SCHOOL	Friarbots	3309	19	95.9	Curie																																	31.1213499380586																																							63.8003509417529																			95.9042129260713																						74.5904114573377				
2	Woodbury, MN USA	3M Company/MoTech & EAST RIDGE HIGH SCHOOL	The East Ridge Robotic Ominous RaptorS - the ERRORS	3130	20	95.5022048950195	Newton			71.2460147050781																																																																																														67.6456428142886																			95.5022078976326	
4	York, PA USA	PRESIDIO Networked Solutions / NRG Energy / Fred Dallmeyer Fund of York County Community Foundation / St. Onge Company / Penn-Air & Hydraulics / Vicki & Damian Rispoli / Coupling Corporation of America / Leidos / BAE Systems / Google / Tekgard / St. Onge Foundation & TechFire Robotics of York	TechFire	225	21	95.0	Carson																																														66.3717630523163																																										94.9855753074379																					65.6199772704423		61.7496485235231						
4	Woodbury, CT USA	ebm-papst Inc. / United Technologies Corporation / Sealed Air / ionBank / Thomaston Savings Bank & NONNEWAUG HIGH SCHOOL	Team Beta	2836	22	94.2	Galileo														21.7010455365094																																																																								53.1111506229346																					58.6802024494788							94.2229451338762			
3	Katy, TX USA	BP America/Oceaneering/ConocoPhillips/Texas Workforce Commission & CINCO RANCH H S	CRyptonite	624	23	93.3	Tesla					29.0516634284244																																85.4158825835382																																																															93.2707756561657																	85.6044243354503
